Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
0,flat,emaar mgf palm hills,sector 77,1.5,12744.0,3,3,3,4.0,Relatively New,1310.0,0,0,0,0,0,2,97
1,flat,raheja vedaanta,sector 108,0.85,4637.0,3,3,2,2.0,Relatively New,1500.0,0,1,0,0,0,0,65
2,flat,511 sarahah tower,sector 12,0.6,8333.0,2,2,1,0.0,New Property,800.0,0,0,0,1,0,1,0
3,flat,laxmi pareena,sector 99a,0.3,6667.0,2,1,0,12.0,New Property,500.0,0,0,0,0,0,0,0
4,flat,emaar gurgaon greens,sector 102,1.55,9394.0,3,4,3,7.0,Relatively New,1315.0,0,1,0,0,0,2,152
5,flat,mapsko royale ville,sector 82,0.97,5419.0,3,4,2,16.0,Relatively New,1620.0,0,1,0,0,0,0,95
6,flat,aipl the peaceful homes,sector 70a,2.4,11163.0,3,3,3,11.0,Relatively New,1946.0,0,1,0,0,0,0,108
7,flat,emaar mgf palm hills,sector 77,1.9,9500.0,3,4,3+,6.0,New Property,1582.0,0,1,0,0,0,2,42
8,flat,signature global the millennia,sector 37d,0.65,10906.0,2,2,3,0.0,New Property,625.0,0,0,0,0,0,0,40
9,flat,tarc maceo,sector 91,1.75,11118.0,4,3,3+,8.0,Relatively New,2107.0,1,1,1,1,0,0,128
10,house,house number b-34,sector 5,0.8,8889.0,2,2,1,1.0,Old Property,900.0,0,0,0,0,0,0,0
11,house,independent,sector 9,1.65,18333.0,2,3,0,3.0,Old Property,900.0,0,0,0,0,0,0,0
12,flat,ireo victory valley,sector 67,4.55,14537.0,4,4,3+,19.0,Relatively New,2833.0,0,1,0,0,0,2,156
13,house,independent,sector 36,0.66,7166.0,2,2,3,4.0,New Property,823.0,0,0,0,0,0,0,0
14,flat,dlf the skycourt,sector 86,1.5,7776.0,3,3,1,15.0,Relatively New,1550.0,0,0,0,0,0,0,159
15,flat,godrej aria,sector 79,1.1,11482.0,2,2,3,9.0,New Property,81.0,0,0,0,0,0,0,62
16,flat,paras dews,sector 106,1.35,8940.0,4,3,3,19.0,Old Property,1678.0,0,1,0,0,0,0,112
17,flat,ramprastha the edge towers,sector 37d,0.8,5797.0,2,2,3,2.0,Relatively New,1300.0,0,0,0,0,0,0,78
18,flat,tulip monsella,sector 53,7.4,33199.0,4,4,3,21.0,Under Construction,2477.0,0,0,0,0,0,0,35
19,flat,puri emerald bay,sector 104,2.45,10000.0,3,4,3+,14.0,Relatively New,2131.0,0,1,0,0,0,2,56
20,flat,dlf new town heights,sector 86,1.55,6579.0,4,4,3+,12.0,Moderately Old,2038.0,0,1,0,1,0,2,120
21,flat,signature the roselia,sector 95,0.45,7909.0,2,2,2,2.0,New Property,632.0,0,0,0,0,0,2,31
22,house,independent,sector 12,6.0,35088.0,4,6,2,2.0,Old Property,1710.0,0,0,0,0,0,0,0
23,house,independent,sector 31,3.69,23699.0,4,4,2,2.0,Moderately Old,1557.0,1,1,0,1,0,2,75
24,house,eros rosewood villas,sector 49,2.75,19841.0,3,3,1,2.0,Old Property,1386.0,0,0,0,0,1,2,80
25,house,independent,sector 26,12.5,38580.0,5,5,3+,2.0,Old Property,3240.0,1,1,1,1,0,2,79
26,flat,hsiidc sidco shivalik apartments,sector 1 imt manesar,0.48,3840.0,2,2,3,7.0,Moderately Old,993.0,0,0,0,0,0,0,88
27,flat,paras quartier,gwal pahari,5.9,11028.0,4,4,3+,19.0,New Property,4842.0,1,1,1,1,0,2,160
28,house,unitech uniworld resorts,sector 33,9.5,23336.0,5,7,3+,2.0,Under Construction,4071.0,1,1,1,1,0,0,57
29,flat,la vida by tata housing,sector 113,2.35,10600.0,3,3,3,11.0,New Property,2210.0,0,1,0,0,0,0,174
30,flat,conscient heritage max,sector 102,2.2,10237.0,3,4,3+,20.0,Relatively New,1186.0,1,1,0,0,0,2,45
31,flat,tulip violet,sector 69,1.68,8358.0,4,4,2,7.0,Relatively New,1819.0,0,0,0,0,0,0,127
32,flat,dlf new town heights,sector 90,1.75,5721.0,4,4,3+,17.0,Relatively New,2468.0,0,1,0,1,0,0,88
33,flat,eldeco accolade,sector 33,1.2,8043.0,2,2,2,0.0,Under Construction,1492.0,0,0,0,0,0,0,56
34,flat,ss the leaf,sector 85,2.13,7575.0,4,4,3,2.0,Relatively New,2600.0,0,0,0,0,0,0,49
35,flat,orris aster court premier,sector 85,1.49,5820.0,4,5,3+,10.0,Relatively New,2017.0,0,1,0,0,0,2,84
36,flat,smart world gems,sector 89,0.9,8160.0,2,2,2,3.0,New Property,998.0,1,0,0,0,1,0,95
37,flat,central park flower valley,sector 33,2.5,13270.0,3,3,2,1.0,Under Construction,2093.0,0,0,0,0,0,0,66
38,flat,sbtl caladium,sector 109,1.3,6915.0,3,2,3,16.0,Moderately Old,1701.0,0,0,0,0,0,0,134
